id,name,price,view,city,marka,model,year,type,color,litre,weight,fuel,travel,engine,cat12,cat13
"1617","LADA (VAZ) 2109, 1.5 L, 1989 il, 250 416 km","4 500 AZN","603","Gəncə","LADA (VAZ)","2109","1989","Hetçbek / Liftbek","Qızılı","1.5 L","75 a.g.","Benzin","250 416 km","Mexaniki","Ön","Xeyr"
"1618","Mercedes E 200, 2.0 L, 1991 il, 486 000 km","7 000 AZN","892","Gəncə","Mercedes","E 200","1991","Sedan","Qara","2.0 L","122 a.g.","Benzin","486 000 km","Avtomat","Arxa","Xeyr"
"1619","LADA (VAZ) 2106, 1.5 L, 1992 il, 124 920 km","5 100 AZN","309","Gəncə","LADA (VAZ)","2106","1992","Sedan","Bej","1.5 L","65 a.g.","Benzin","124 920 km","Mexaniki","Arxa","Xeyr"
"1620","Renault Megane, 1.5 L, 2007 il, 25 000 km","9 000 AZN","676","Gəncə","Renault","Megane","2007","Universal","Qızılı","1.5 L","105 a.g.","Dizel","25 000 km","Mexaniki","Ön","Xeyr"
"1621","Mercedes ML 350, 3.5 L, 2011 il, 145 000 km","31 500 AZN","1435","Gəncə","Mercedes","ML 350","2011","Offroader / SUV","Ağ","3.5 L","272 a.g.","Benzin","145 000 km","Avtomat","Tam","Xeyr"
"1622","Toyota Prado, 2.7 L, 2006 il, 173 000 km","26 500 AZN","1045","Gəncə","Toyota","Prado","2006","Offroader / SUV","Boz","2.7 L","167 a.g.","Benzin","173 000 km","Avtomat","Ön","Xeyr"
"1623","Mercedes S 420, 4.2 L, 1991 il, 303 500 km","13 100 AZN","3190","Gəncə","Mercedes","S 420","1991","Sedan","Göy","4.2 L","279 a.g.","Benzin","303 500 km","Avtomat","Tam","Xeyr"
"1624","LADA (VAZ) Niva, 1.7 L, 2013 il, 111 000 km","8 800 AZN","2296","Gəncə","LADA (VAZ)","Niva","2013","Offroader / SUV","Göy","1.7 L","80 a.g.","Benzin","111 000 km","Mexaniki","Tam","Xeyr"
"1625","Hyundai Sonata, 2.4 L, 2014 il, 127 541 km","22 000 AZN","1038","Gəncə","Hyundai","Sonata","2014","Sedan","Ağ","2.4 L","178 a.g.","Benzin","127 541 km","Avtomat","Ön","Xeyr"
"1626","Nissan Sunny, 1.6 L, 1991 il, 233 243 km","4 500 AZN","1248","Gəncə","Nissan","Sunny","1991","Sedan","Göy","1.6 L","110 a.g.","Benzin","233 243 km","Mexaniki","Ön","Xeyr"
"1627","LADA (VAZ) 2107, 1.5 L, 1993 il, 233 000 km","3 500 AZN","1742","Gəncə","LADA (VAZ)","2107","1993","Sedan","Bej","1.5 L","65 a.g.","Benzin","233 000 km","Mexaniki","Arxa","Xeyr"
"1628","Peugeot 405, 1.8 L, 1997 il, 354 886 km","4 500 AZN","607","Gəncə","Peugeot","405","1997","Sedan","Yaşıl","1.8 L","101 a.g.","Benzin","354 886 km","Mexaniki","Ön","Xeyr"
"1629","LADA (VAZ) 2106, 1.6 L, 1983 il, 120 000 km","3 000 AZN","3561","Gəncə","LADA (VAZ)","2106","1983","Minivan","Qırmızı","1.6 L","75 a.g.","Benzin","120 000 km","Mexaniki","Arxa","Xeyr"
"1630","LADA (VAZ) Priora, 1.6 L, 2011 il, 230 000 km","10 800 AZN","786","Gəncə","LADA (VAZ)","Priora","2011","Hetçbek / Liftbek","Yaş Asfalt","1.6 L","106 a.g.","Benzin","230 000 km","Mexaniki","Ön","Xeyr"
